Province,0,1
Eastern Cape,0,30336
Free State,0,8099
Gauteng,2,393863
KwaZulu-Natal,0,169781
Limpopo,0,24836
Mpumalanga,2,52716
North West,0,143287
Northern Cape,0,6380
Western Cape,1,170795
