model,accuracy,precision,recall,f1,auc
RandomForest,0.99999500049995,0.99999500049995,1.0,0.9999975002437262,0.49988251116143967
XGBoost,0.99999500049995,0.99999500049995,1.0,0.9999975002437262,0.5835770601792829
